country,year,tb_incidence,who_tb_incidence
Afghanistan,2023,180.0,180.0
Albania,2023,15.0,15.0
Algeria,2023,47.0,47.0
Andorra,2023,5.7,5.7
Angola,2023,339.0,339.0
Antigua and Barbuda,2023,1.2,1.2
Argentina,2023,35.0,35.0
Armenia,2023,25.0,25.0
Australia,2023,6.2,6.2
Austria,2023,5.2,5.2
Azerbaijan,2023,72.0,72.0
Bahamas,2023,7.8,7.8
Bahrain,2023,12.0,12.0
Bangladesh,2023,221.0,221.0
Barbados,2023,0.81,0.81
Belarus,2023,27.0,27.0
Belgium,2023,7.5,7.5
Belize,2023,27.0,27.0
Benin,2023,51.0,51.0
Bhutan,2023,164.0,164.0
Bolivia,2023,105.0,105.0
Bosnia and Herzegovina,2023,24.0,24.0
Botswana,2023,244.0,244.0
Brazil,2023,49.0,49.0
Brunei,2023,65.0,65.0
Bulgaria,2023,16.0,16.0
Burkina Faso,2023,43.0,43.0
Burundi,2023,94.0,94.0
Cambodia,2023,335.0,335.0
Cameroon,2023,150.0,150.0
Canada,2023,5.8,5.8
Cape Verde,2023,47.0,47.0
Central African Republic,2023,540.0,540.0
Chad,2023,139.0,139.0
Chile,2023,18.0,18.0
China,2023,52.0,52.0
Colombia,2023,46.0,46.0
Comoros,2023,35.0,35.0
Congo,2023,368.0,368.0
Costa Rica,2023,9.9,9.9
Cote d'Ivoire,2023,119.0,119.0
Croatia,2023,3.5,3.5
Cuba,2023,7.9,7.9
Cyprus,2023,5.5,5.5
Czechia,2023,4.8,4.8
Democratic Republic of Congo,2023,316.0,316.0
Denmark,2023,3.6,3.6
Djibouti,2023,218.0,218.0
Dominica,2023,16.0,16.0
Dominican Republic,2023,42.0,42.0
East Timor,2023,498.0,498.0
Ecuador,2023,58.0,58.0
Egypt,2023,9.2,9.2
El Salvador,2023,84.0,84.0
Equatorial Guinea,2023,274.0,274.0
Eritrea,2023,65.0,65.0
Estonia,2023,8.2,8.2
Eswatini,2023,350.0,350.0
Ethiopia,2023,146.0,146.0
Fiji,2023,66.0,66.0
Finland,2023,3.4,3.4
France,2023,8.3,8.3
Gabon,2023,505.0,505.0
Gambia,2023,142.0,142.0
Georgia,2023,55.0,55.0
Germany,2023,4.8,4.8
Ghana,2023,129.0,129.0
Greece,2023,5.2,5.2
Greenland,2023,101.0,101.0
Grenada,2023,4.9,4.9
Guatemala,2023,33.0,33.0
Guinea,2023,175.0,175.0
Guinea-Bissau,2023,361.0,361.0
Guyana,2023,64.0,64.0
Haiti,2023,149.0,149.0
Honduras,2023,31.0,31.0
Hungary,2023,5.9,5.9
Iceland,2023,3.2,3.2
India,2023,195.0,195.0
Indonesia,2023,387.0,387.0
Iran,2023,11.0,11.0
Iraq,2023,21.0,21.0
Ireland,2023,4.6,4.6
Israel,2023,2.8,2.8
Italy,2023,4.4,4.4
Jamaica,2023,3.2,3.2
Japan,2023,9.3,9.3
Jordan,2023,3.4,3.4
Kazakhstan,2023,70.0,70.0
Kenya,2023,223.0,223.0
Kiribati,2023,533.0,533.0
Kuwait,2023,9.7,9.7
Kyrgyzstan,2023,112.0,112.0
Laos,2023,132.0,132.0
Latvia,2023,16.0,16.0
Lebanon,2023,10.0,10.0
Lesotho,2023,664.0,664.0
Liberia,2023,308.0,308.0
Libya,2023,59.0,59.0
Lithuania,2023,28.0,28.0
Luxembourg,2023,7.3,7.3
Madagascar,2023,233.0,233.0
Malawi,2023,119.0,119.0
Malaysia,2023,122.0,122.0
Maldives,2023,40.0,40.0
Mali,2023,48.0,48.0
Malta,2023,15.0,15.0
